#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Macaca mulatta	Eukaryota;Animals;Mammals	17573		PRJNA214746	GCA_000772875.3	 Chromosome	3236.22	41.2015	chromosome 1:NC_027893.1/CM002977.3; chromosome 2:NC_027894.1/CM002980.3; chromosome 3:NC_027895.1/CM002984.2; chromosome 4:NC_027896.1/CM002983.2; chromosome 5:NC_027897.1/CM002981.2; chromosome 6:NC_027898.1/CM002982.3; chromosome 7:NC_027899.1/CM002991.3; chromosome 8:NC_027900.1/CM002985.3; chromosome 9:NC_027901.1/CM002987.3; chromosome 10:NC_027902.1/CM002992.3; chromosome 11:NC_027903.1/CM002989.3; chromosome 12:NC_027904.1/CM002979.2; chromosome 13:NC_027905.1/CM002978.2; chromosome 14:NC_027906.1/CM002988.2; chromosome 15:NC_027907.1/CM002986.2; chromosome 16:NC_027908.1/CM002994.2; chromosome 17:NC_027909.1/CM002990.2; chromosome 18:NC_027910.1/CM002995.2; chromosome 19:NC_027911.1/CM002996.3; chromosome 20:NC_027912.1/CM002993.2; chromosome X:NC_027913.1/CM002997.3; chromosome Y:NC_027914.1/CM003438.1; mitochondrion MT:NC_005943.1/AY612638.1	JSUE03	286263	55366	2014-11-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/875/GCA_000772875.3_Mmul_8.0.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/875/GCF_000772875.2_Mmul_8.0.1
Melopsittacus undulatus	Eukaryota;Animals;Birds		SAMN02981360	PRJNA197262	GCA_000238935.1	Scaffold	1117.37	41.4001	mitochondrion MT:NC_009134.1/EF450826.1	AGAI01	25212	17079	2011-11-28T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/935/GCA_000238935.1_Melopsittacus_undulatus_6.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/935/GCF_000238935.1_Melopsittacus_undulatus_6.3
Microcebus murinus	Eukaryota;Animals;Mammals	mixed	SAMN06275470	PRJNA19967	GCA_000165445.3	 Chromosome	2487.41	41.3423	chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/KR911908.1	ABDC03	7678	59023	2007-07-20T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/445/GCA_000165445.3_Mmur_3.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/445/GCF_000165445.2_Mmur_3.0
Monodelphis domestica	Eukaryota;Animals;Mammals		SAMN02953611	PRJNA12561	GCF_000002295.2	 Chromosome	3598.44	38.1446	chromosome 1:NC_008801.1/CM000368.1; chromosome 2:NC_008802.1/CM000369.1; chromosome 3:NC_008803.1/CM000370.1; chromosome 4:NC_008804.1/CM000371.1; chromosome 5:NC_008805.1/CM000372.1; chromosome 6:NC_008806.1/CM000373.1; chromosome 7:NC_008807.1/CM000374.1; chromosome 8:NC_008808.1/CM000375.1; chromosome X:NC_008809.1/CM000376.1; mitochondrion MT:NC_006299.1/AJ508398.1	AAFR03	5223	49112	2004-11-08T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/295/GCF_000002295.2_MonDom5
Mus musculus	Eukaryota;Animals;Mammals	C57BL/6J		PRJNA11777	GCA_000001635.8	 Chromosome	2818.97	41.951	chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1		336	78443	2004-09-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.8_GRCm38.p6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.26_GRCm38.p6
Musca domestica	Eukaryota;Animals;Insects	aabys	SAMN02953849	PRJNA210139	GCA_000371365.1	Scaffold	750.404	36.1		AQPM01	20487	21309	2013-04-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/371/365/GCA_000371365.1_Musca_domestica-2.0.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/365/GCF_000371365.1_Musca_domestica-2.0.2
Nicrophorus vespilloides	Eukaryota;Animals;Insects	i.1.1-1	SAMN03733533	PRJNA339573	GCA_001412225.1	Scaffold	195.273	32.2		LJCH01	4650	19577	2015-10-23T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/225/GCA_001412225.1_Nicve_v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/225/GCF_001412225.1_Nicve_v1.0
Oncopeltus fasciatus	Eukaryota;Animals;Insects	OFAS.00	SAMN02645558	PRJNA229125	GCA_000696205.2	Scaffold	1099.61	34.7		JHQO02	15991	0	2014-05-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/205/GCA_000696205.2_Ofas_2.0	
Ornithorhynchus anatinus	Eukaryota;Animals;Mammals	Glennie	SAMN02953646	PRJNA12885	GCF_000002275.2	 Chromosome	1995.61	45.6584	chromosome 1:NC_009094.1/CM000409.1; chromosome 2:NC_009095.1/CM000410.1; chromosome 3:NC_009096.1/CM000411.1; chromosome 4:NC_009097.1/CM000412.1; chromosome 5:NC_009098.1/CM000413.1; chromosome 6:NC_009099.1/CM000414.1; chromosome 7:NC_009100.1/CM000415.1; chromosome 10:NC_009103.1/CM000416.1; chromosome 11:NC_009104.1/CM000417.1; chromosome 12:NC_009105.1/CM000418.1; chromosome 14:NC_009107.1/CM000419.1; chromosome 15:NC_009108.1/CM000420.1; chromosome 17:NC_009110.1/CM000421.1; chromosome 18:NC_009111.1/CM000422.1; chromosome 20:NC_009112.1/CM000423.1; chromosome X1:NC_009114.1/CM000424.1; chromosome X2:NC_009115.1/CM000425.1; chromosome X3:NC_009116.1/CM000426.1; chromosome X5:NC_009118.1/CM000427.1; mitochondrion MT:NC_000891.1/X83427.1	AAPN01	200283	24786	2006-04-10T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/275/GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1
Oryctolagus cuniculus	Eukaryota;Animals;Mammals		SAMN02953624	PRJNA12819	GCA_000003625.1	 Chromosome	2737.46	44.0526	chromosome 1:NC_013669.1/CM000790.1; chromosome 2:NC_013670.1/CM000791.1; chromosome 3:NC_013671.1/CM000792.1; chromosome 4:NC_013672.1/CM000793.1; chromosome 5:NC_013673.1/CM000794.1; chromosome 6:NC_013674.1/CM000795.1; chromosome 7:NC_013675.1/CM000796.1; chromosome 8:NC_013676.1/CM000797.1; chromosome 9:NC_013677.1/CM000798.1; chromosome 10:NC_013678.1/CM000799.1; chromosome 11:NC_013679.1/CM000800.1; chromosome 12:NC_013680.1/CM000801.1; chromosome 13:NC_013681.1/CM000802.1; chromosome 14:NC_013682.1/CM000803.1; chromosome 15:NC_013683.1/CM000804.1; chromosome 16:NC_013684.1/CM000805.1; chromosome 17:NC_013685.1/CM000806.1; chromosome 18:NC_013686.1/CM000807.1; chromosome 19:NC_013687.1/CM000808.1; chromosome 20:NC_013688.1/CM000809.1; chromosome 21:NC_013689.1/CM000810.1; chromosome X:NC_013690.1/CM000811.1; mitochondrion MT:NC_001913.1/AJ001588.1	AAGW02	3318	38463	2005-05-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/625/GCA_000003625.1_OryCun2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/625/GCF_000003625.3_OryCun2.0
Oryzias latipes	Eukaryota;Animals;Fishes	Hd-rR	SAMN06689957	PRJNA325079	GCA_002234675.1	 Chromosome	734.057	40.8475	chromosome 1:NC_019859.2/CP020665.1; chromosome 2:NC_019860.2/CP020666.1; chromosome 3:NC_019861.2/CP020667.1; chromosome 4:NC_019862.2/CP020668.1; chromosome 5:NC_019863.2/CP020669.1; chromosome 6:NC_019864.2/CP020670.1; chromosome 7:NC_019865.2/CP020671.1; chromosome 8:NC_019866.2/CP020672.1; chromosome 9:NC_019867.2/CP020673.1; chromosome 10:NC_019868.2/CP020674.1; chromosome 11:NC_019869.2/CP020675.1; chromosome 12:NC_019870.2/CP020676.1; chromosome 13:NC_019871.2/CP020677.1; chromosome 14:NC_019872.2/CP020678.1; chromosome 15:NC_019873.2/CP020679.1; chromosome 16:NC_019874.2/CP020680.1; chromosome 17:NC_019875.2/CP020681.1; chromosome 18:NC_019876.2/CP020682.1; chromosome 19:NC_019877.2/CP020683.1; chromosome 20:NC_019878.2/CP020684.1; chromosome 21:NC_019879.2/CP020685.1; chromosome 22:NC_019880.2/CP020686.1; chromosome 23:NC_019881.2/CP020687.1; chromosome 24:NC_019882.2/CP020688.1; mitochondrion MT:NC_004387.1/AP004421.1		25	44766	2012-12-22T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/675/GCA_002234675.1_ASM223467v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/675/GCF_002234675.1_ASM223467v1
Oryzias melastigma	Eukaryota;Animals;Fishes	HK-1	SAMN07596545	PRJNA436980	GCA_002922805.1	Scaffold	779.47	39.6	mitochondrion MT:NC_018546.1/JQ713914.1	NVQA01	8603	42280	2018-02-07T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/922/805/GCF_002922805.2_ASM292280v2
Pararge aegeria	Eukaryota;Animals;Insects		SAMEA4810222	PRJEB28004	GCA_900499025.1	Scaffold	501.695	37		UIGX01	82131	0	2018-08-06T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/163/445/GCF_905163445.1_ilParAegt1.1
Parasteatoda tepidariorum	Eukaryota;Animals;Other Animals	Goettingen	SAMN02364452	PRJNA167405	GCA_000365465.2	Scaffold	1445.4	32.9		AOMJ02	16533	27516	2013-04-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/365/465/GCA_000365465.2_Ptep_2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/465/GCF_000365465.2_Ptep_2.0
Penaeus monodon	Eukaryota;Animals;Other Animals	Shenzhen	SAMN07156124	PRJNA387410	GCA_002291185.1	Scaffold	1447.42	38.1		NIUS01	2525346	0	2017-09-12T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/291/185/GCA_002291185.1_Pmon_WGS_v1	
Plutella xylostella	Eukaryota;Animals;Insects	DBM-FZ-S	SAMN02953808	PRJNA277936	GCA_000330985.1	Scaffold	393.471	39.7991	mitochondrion MT:NC_025322.1/KM023645.1	AHIO01	1794	21674	2013-01-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/985/GCA_000330985.1_DBM_FJ_V1.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/985/GCF_000330985.1_DBM_FJ_V1.1
Rattus norvegicus	Eukaryota;Animals;Mammals	mixed	SAMN02808228	PRJNA10629	GCA_000001895.4	 Chromosome	2870.18	42.3282	chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1	AABR07	1395	56113	2002-11-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0
Sus scrofa	Eukaryota;Animals;Mammals	TJ Tabasco	SAMN02953785	PRJNA13421	GCA_000003025.6	 Chromosome	2501.91	41.971	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/AF034253.1	AEMK02	706	63577	2008-07-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/025/GCA_000003025.6_Sscrofa11.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1
Tachysurus fulvidraco	Eukaryota;Animals;Fishes	Tf-2017	SAMN10147840	PRJNA506049	GCA_003724035.1	Scaffold	713.811	39.2001	mitochondrion:NC_015888.1/HM641815.1	REGT01	663	13	2018-11-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/724/035/GCA_003724035.1_ASM372403v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/724/035/GCF_003724035.1_ASM372403v1
Tribolium castaneum	Eukaryota;Animals;Insects	Georgia GA2	SAMN02953634	PRJNA12540	GCA_000002335.3	 Chromosome	165.944	35.1887	linkage group LGX:NC_007416.3/CM000276.3; linkage group LG2:NC_007417.3/CM000277.3; linkage group LG3:NC_007418.3/CM000278.3; linkage group LG4:NC_007419.2/CM000279.2; linkage group LG5:NC_007420.3/CM000280.3; linkage group LG6:NC_007421.3/CM000281.3; linkage group LG7:NC_007422.5/CM000282.3; linkage group LG8:NC_007423.3/CM000283.3; linkage group LG9:NC_007424.3/CM000284.3; linkage group LG10:NC_007425.3/CM000285.3; mitochondrion MT:NC_003081.2/AJ312413.2	AAJJ02	2149	22611	2005-08-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/335/GCA_000002335.3_Tcas5.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/335/GCF_000002335.3_Tcas5.2
Trichoplusia ni	Eukaryota;Animals;Insects	ovarian cell line Hi5	SAMN07304761	PRJNA497582	GCA_003590095.1	 Chromosome	368.211	35.6704	chromosome 1:NC_039478.1/CM010751.1; chromosome 2:NC_039479.1/CM010752.1; chromosome 3:NC_039480.1/CM010753.1; chromosome 4:NC_039481.1/CM010754.1; chromosome 5:NC_039482.1/CM010755.1; chromosome 6:NC_039483.1/CM010756.1; chromosome 7:NC_039484.1/CM010757.1; chromosome 8:NC_039485.1/CM010758.1; chromosome 9:NC_039486.1/CM010759.1; chromosome 10:NC_039487.1/CM010760.1; chromosome 11:NC_039488.1/CM010761.1; chromosome 12:NC_039489.1/CM010762.1; chromosome 13:NC_039490.1/CM010763.1; chromosome 14:NC_039491.1/CM010764.1; chromosome 15:NC_039492.1/CM010765.1; chromosome 16:NC_039493.1/CM010766.1; chromosome 17:NC_039494.1/CM010767.1; chromosome 18:NC_039495.1/CM010768.1; chromosome 19:NC_039496.1/CM010769.1; chromosome 20:NC_039497.1/CM010770.1; chromosome 21:NC_039498.1/CM010771.1; chromosome 22:NC_039499.1/CM010772.1; chromosome 23:NC_039500.1/CM010773.1; chromosome 24:NC_039501.1/CM010774.1; chromosome 25:NC_039502.1/CM010775.1; chromosome 26:NC_039503.1/CM010776.1; chromosome 27:NC_039504.1/CM010777.1; chromosome 28:NC_039505.1/CM010778.1; mitochondrion MT:CM010779.1	NKQN01	1031	23658	2018-02-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/095/GCA_003590095.1_tn1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/095/GCF_003590095.1_tn1
Tupaia belangeri	Eukaryota;Animals;Mammals		SAMN03004381	PRJNA13971	GCA_000181375.1	Contig	2137.23	41.4		AAPY01	841006	0	2006-06-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/375/GCA_000181375.1_ASM18137v1	
Xenopus laevis	Eukaryota;Animals;Amphibians	J	SAMN04518361	PRJNA338693	GCA_001663975.1	 Chromosome	2718.43	40.2325	chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/M10217.1	LYTH01	108033	56817	2016-06-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/975/GCA_001663975.1_Xenopus_laevis_v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/975/GCF_001663975.1_Xenopus_laevis_v2
Xenopus tropicalis	Eukaryota;Animals;Amphibians	Nigerian	SAMN00000117	PRJNA12348	GCA_000004195.3	 Chromosome	1440.4	40.5404	chromosome 1:NC_030677.1/CM004443.1; chromosome 2:NC_030678.1/CM004444.1; chromosome 3:NC_030679.1/CM004445.1; chromosome 4:NC_030680.1/CM004446.1; chromosome 5:NC_030681.1/CM004447.1; chromosome 6:NC_030682.1/CM004448.1; chromosome 7:NC_030683.1/CM004449.1; chromosome 8:NC_030684.1/CM004450.1; chromosome 9:NC_030685.1/CM004451.1; chromosome 10:NC_030686.1/CM004452.1; mitochondrion MT:NC_006839.1/AY789013.1	AAMC03	6822	39715	2009-11-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.3_Xenopus_tropicalis_v9.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.3_Xenopus_tropicalis_v9.1
